"","Total Number of reads for each species across all samples"
"Rheinheimera sp. F8",196
"Thermochromatium tepidum",472
"Thiocapsa bogorovii",760
"Thiocystis violascens",948
"Thiodictyon Candidatus Thiodictyon syntrophicum",982
"Thioflavicoccus mobilis",852
"Acidihalobacter aeolianus",499
"Acidihalobacter ferrooxydans",445
"Acidihalobacter yilgarnensis",488
"Alkalilimnicola ehrlichii",504
"Aquisalimonas sp. 2447",600
"Ectothiorhodosinus mongolicus",289
"Ectothiorhodospira haloalkaliphila",360
"Ectothiorhodospira sp. BSL-9",725
"Halorhodospira halochloris",228
"Halorhodospira halophila",458
"Spiribacter curvatus",312
"Spiribacter salinus",174
"Spiribacter sp. 2438",227
"Spiribacter sp. E85",614
"Thioalkalivibrio nitratireducens",392
"Thioalkalivibrio paradoxus",432
"Thioalkalivibrio sp. K90mix",381
"Thioalkalivibrio sulfidiphilus",1176
"Thioalkalivibrio versutus",527
"Granulosicoccus antarcticus",564
"Sulfuriflexus mobilis",362
"Thiohalobacter thiocyanaticus",171
"Halothiobacillus neapolitanus",583
"Halothiobacillus sp. LS2",322
"Guyparkeria halophila",543
"Thiohalobacter sp. COW1",316
"Candidatus Reidiella endopervernicosa",498
"Sulfurivermis Bathymodiolus septemdierum thioautotrophic gill symbiont",98
"Sulfurivermis Bathymodiolus thermophilus thioautotrophic gill symbiont",243
"Sulfurivermis fontis",1092
"Thiolapillus brandeum",494
"Wenzhouxiangella marina",546
"Wenzhouxiangella sp. AB-CW3",382
"Woeseia oceani",418
"Sodalis Candidatus Sodalis pierantonius",188
"Sodalis endosymbiont of Henestaris halophilus",36
"Sodalis praecaptivus",636
"Sodalis sp. dw_23",978
"Jinshanibacter zhutongyuii",330
"Leminorella richardii",580
"Limnobaculum parvum",276
"Pragia fontium",1206
"Atlantibacter hermannii",505
"Buttiauxella agrestis",585
"Buttiauxella ferragutiae",50
"Buttiauxella sp. 3AFRM03",224
"Candidatus Annandia pinicola",20
"Candidatus Blochmannia Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus",46
"Candidatus Blochmannia Blochmannia endosymbiont of Camponotus nipponensis",34
"Candidatus Blochmannia Blochmannia endosymbiont of Colobopsis nipponica",42
"Candidatus Blochmannia Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri",44
"Candidatus Blochmannia pennsylvanicus",12
"Candidatus Doolittlea endobia",30
"Candidatus Gullanella endobia",126
"Candidatus Hamiltonella defensa",469
"Candidatus Hamiltonella secondary endosymbiont of Ctenarytaina eucalypti",118
"Candidatus Hoaglandella endobia",48
"Candidatus Ishikawaella capsulata",14
"Candidatus Profftia Enterobacteriaceae endosymbiont of Donacia dentata",91
"Candidatus Profftia lariciata",86
"Candidatus Profftia sp. (ex Adelges kitamiensis)",110
"Candidatus Profftia tarda",36
"Candidatus Purcelliella pentastirinorum",76
"Candidatus Purcelliella secondary endosymbiont of Trabutina mannipara",12
"Candidatus Riesia pediculicola",12
"Candidatus Riesia pediculischaeffi",66
"Candidatus Schneideria nysicola",18
"Candidatus Symbiopectobacterium secondary endosymbiont of Heteropsylla cubana",38
"Candidatus Symbiopectobacterium sp. SyEd1",1773
"Candidatus Tachikawaea gelatinosa",52
"Cedecea lapagei",451
"Cedecea neteri",1928
"Cedecea sp. FDAARGOS_727",545
"Citrobacter amalonaticus",11299
"Citrobacter arsenatis",298
"Citrobacter braakii",825
"Citrobacter cronae",438
"Citrobacter farmeri",12275
"Citrobacter freundii",16532
"Citrobacter freundii complex sp. CFNIH2",5914
"Citrobacter freundii complex sp. CFNIH9",331
"Citrobacter koseri",596
"Citrobacter pasteurii",970
"Citrobacter portucalensis",2522
"Citrobacter rodentium",809
"Citrobacter sedlakii",57
"Citrobacter sp. BDA59-3",76
"Citrobacter sp. BIDMC107",105
"Citrobacter sp. CF971",33
"Citrobacter sp. CFNIH10",338
"Citrobacter sp. Colony219",29
"Citrobacter sp. CRE-46",19
"Citrobacter sp. FDAARGOS_156",118
"Citrobacter sp. LUTT5",65
"Citrobacter sp. MGH 55",2500
"Citrobacter sp. R56",662
"Citrobacter sp. RHB25-C09",655
"Citrobacter sp. RHB35-C17",228
"Citrobacter sp. RHBSTW-00599",446
"Citrobacter sp. TSA-1",45
"Citrobacter sp. Y3",40
"Citrobacter telavivensis",612
"Citrobacter tructae",785
"Citrobacter werkmanii",1106
"Citrobacter youngae",280
"Cronobacter condimenti",313
"Cronobacter dublinensis",431
"Cronobacter malonaticus",562
"Cronobacter sakazakii",1340
"Cronobacter sp. JZ38",331
"Cronobacter universalis",304
"Enterobacter asburiae",2698
"Enterobacter bugandensis",546
"Enterobacter cancerogenus",1016
"Enterobacter chengduensis",320
"Enterobacter chuandaensis",268
"Enterobacter cloacae complex sp.",1925
"Enterobacter cloacae",12774
"Enterobacter hormaechei",12721
"Enterobacter kobei",974
"Enterobacter ludwigii",763
"Enterobacter mori",2703
"Enterobacter oligotrophicus",512
"Enterobacter roggenkampii",1559
"Enterobacter sichuanensis",98
"Enterobacter soli",3307
"Enterobacter sp. 18A13",47
"Enterobacter sp. BIDMC 29",43
"Enterobacter sp. BIDMC100",94
"Enterobacter sp. Colony194",145
"Enterobacter sp. DNB-S2",14
"Enterobacter sp. DSM 30060",31
"Enterobacter sp. E76",1528
"Enterobacter sp. HK169",76
"Enterobacter sp. JBIWA003",278
"Enterobacter sp. JBIWA005",65
"Enterobacter sp. JBIWA008",115
"Enterobacter sp. JUb54",5477
"Enterobacter sp. N18-03635",34
"Enterobacter sp. RHBSTW-00175",1890
"Enterobacter sp. RHBSTW-00994",676
"Enterobacter sp. SA187",612
"Enterobacter sp. SES19",35
"Enterobacter sp. SGAir0187",127
"Enterobacter sp. YSU",29
"Enterobacter sp.",17
"Escherichia albertii",15474
"Escherichia coli",1319208
"Escherichia fergusonii",15473
"Escherichia marmotae",12224
"Escherichia sp. E4742",61141
"Escherichia sp. SCLE84",39
"Jejubacter calystegiae",582
"Jejubacter Enterobacteriaceae endosymbiont of Donacia cincticornis",66
"Klebsiella aerogenes",3222
"Klebsiella africana",463
"Klebsiella grimontii",1233
"Klebsiella huaxiensis",1881
"Klebsiella michiganensis",8399
"Klebsiella oxytoca",6663
"Klebsiella pasteurii",19
"Klebsiella pneumoniae",45024
"Klebsiella quasipneumoniae",5962
"Klebsiella quasivariicola",763
"Klebsiella sp. A52",386
"Klebsiella sp. BDA134-6",1054
"Klebsiella sp. CTHL.F3a",867
"Klebsiella sp. KPN54798",54
"Klebsiella sp. P1CD1",353
"Klebsiella sp. PL-2018",18
"Klebsiella variicola",22009
"Kluyvera genomosp. 3",357
"Kluyvera intermedia",3643
"Kluyvera sp. CRP",481
"Kosakonia arachidis",310
"Kosakonia cowanii",1015
"Kosakonia oryzae",478
"Kosakonia pseudosacchari",442
"Kosakonia radicincitans",597
"Kosakonia sacchari",1001
"Kosakonia sp. CCTCC M2018092",311
"Kosakonia sp. MUSA4",285
"Kosakonia sp. SMBL-WEM22",400
"Leclercia adecarboxylata",2444
"Leclercia sp. 29361",493
"Leclercia sp. 4-9-1-25",806
"Leclercia sp. Colony189",37
"Leclercia sp. G3L",389
"Leclercia sp. J807",42
"Leclercia sp. W6",227
"Lelliottia amnigena",1584
"Lelliottia Enterobacteriaceae endosymbiont of Macroplea appendiculata",36
"Lelliottia sp. WB101",348
"Phytobacter diazotrophicus",99
"Phytobacter Enterobacteriaceae endosymbiont of Donacia cinerea",27
"Phytobacter Enterobacteriaceae endosymbiont of Donacia provostii",63
"Phytobacter Enterobacteriaceae endosymbiont of Donacia proxima",19
"Phytobacter Enterobacteriaceae endosymbiont of Donacia semicuprea",35
"Phytobacter Enterobacteriaceae endosymbiont of Donacia simplex",24
"Phytobacter Enterobacteriaceae endosymbiont of Donacia thalassina",33
"Phytobacter Enterobacteriaceae endosymbiont of Macroplea mutica",30
"Phytobacter Enterobacteriaceae endosymbiont of Neohaemonia nigricornis",66
"Phytobacter Enterobacteriaceae endosymbiont of Plateumaris consimilis",48
"Phytobacter Enterobacteriaceae endosymbiont of Plateumaris pusilla",48
"Phytobacter Enterobacteriaceae endosymbiont of Plateumaris rustica",39
"Phytobacter sp. SCO41",45
"Phytobacter ursingii",2112
"Plesiomonas shigelloides",4283
"Pluralibacter [Enterobacter] lignolyticus",658
"Pluralibacter Enterobacteriaceae endosymbiont of Donacia tomentosa",22
"Pluralibacter gergoviae",1077
"Pseudescherichia Enterobacteriaceae endosymbiont of Donacia clavipes",18
"Pseudescherichia vulneris",458
"Pseudocitrobacter sp. G163CM",4806
"Raoultella electrica",454
"Raoultella ornithinolytica",3610
"Raoultella planticola",2177
"Raoultella sp. HC6",758
"Raoultella sp. X13",103
"Raoultella terrigena",462
"Salmonella bongori",564
"Salmonella enterica",58195
"Salmonella sp.",46
"Scandinavium Enterobacteriaceae endosymbiont of Donacia sparganii",28
"Scandinavium goeteborgense",425
"Shigella boydii",806
"Shigella dysenteriae",1289
"Shigella flexneri",3050
"Shigella sonnei",256
"Shimwellia blattae",460
"Yokenella regensburgei",916
"Buchnera aphidicola",179049
"Erwinia amylovora",1906
"Erwinia billingiae",718
"Erwinia Candidatus Erwinia haradaeae",692
"Erwinia gerundensis",597
"Erwinia persicina",762
"Erwinia pyrifoliae",113
"Erwinia rhapontici",614
"Erwinia sp. E602",1011
"Erwinia sp. Ejp617",76
"Erwinia sp. J780",576
"Erwinia sp. QL-Z3",104
"Erwinia tasmaniensis",444
"Erwinia tracheiphila",376
"Mixta calida",527
"Mixta gaviniae",590
"Mixta intestinalis",459
"Mixta theicola",510
"Pantoea agglomerans",2491
"Pantoea alhagi",346
"Pantoea ananatis",1028
"Pantoea Candidatus Pantoea carbekii",74
"Pantoea cypripedii",630
"Pantoea dispersa",2238
"Pantoea eucalypti",102
"Pantoea rwandensis",421
"Pantoea sp. At-9b",760
"Pantoea sp. CCBC3-3-1",402
"Pantoea sp. MSR2",621
"Pantoea sp. SM3640",97
"Pantoea sp. SO10",623
"Pantoea sp. Z09",425
"Pantoea stewartii",623
"Pantoea vagans",2887
"Tatumella citrea",487
"Tatumella ptyseos",374
"Wigglesworthia glossinidia",56
"Edwardsiella hoshinae",341
"Edwardsiella ictaluri",707
"Edwardsiella piscicida",463
"Edwardsiella tarda",1627
"Hafnia alvei",1169
"Hafnia paralvei",325
"Obesumbacterium proteus",203
"Arsenophonus Candidatus Arsenophonus lipoptenae",38
"Arsenophonus endosymbiont of Aphis craccivora",62
"Arsenophonus endosymbiont of Apis mellifera",156
"Arsenophonus nasoniae",169
"Moellerella wisconsensis",686
"Morganella morganii",51038
"Photorhabdus akhurstii",324
"Photorhabdus asymbiotica",164
"Photorhabdus laumondii",448
"Photorhabdus thracensis",221
"Proteus columbae",4641
"Proteus hauseri",362
"Proteus mirabilis",3387
"Proteus penneri",1233
"Proteus sp. NMG38-2",779
"Proteus sp. ZN5",817
"Proteus terrae",627
"Proteus vulgaris",14941
"Providencia alcalifaciens",1588
"Providencia heimbachae",564
"Providencia huaxiensis",35
"Providencia rettgeri",7176
"Providencia rustigianii",320
"Providencia sneebia",294
"Providencia sp. 1701091",297
"Providencia sp. R33",8401
"Providencia stuartii",311
"Providencia vermicola",521
"Xenorhabdus bovienii",448
"Xenorhabdus budapestensis",296
"Xenorhabdus doucetiae",272
"Xenorhabdus hominickii",243
"Xenorhabdus nematophila",310
"Xenorhabdus poinarii",242
"Brenneria goodwinii",746
"Brenneria izadpanahii",1024
"Brenneria rubrifaciens",658
"Dickeya chrysanthemi",929
"Dickeya dadantii",971
"Dickeya dianthicola",675
"Dickeya fangzhongdai",1450
"Dickeya oryzae",53
"Dickeya parazeae",80
"Dickeya poaceiphila",257
"Dickeya solani",282
"Dickeya sp. NCPPB 3274",101
"Dickeya zeae",1795
"Lonsdalea britannica",440
"Lonsdalea populi",393
"Pectobacterium aquaticum",38
"Pectobacterium aroidearum",52
"Pectobacterium atrosepticum",300
"Pectobacterium brasiliense",820
"Pectobacterium carotovorum",1729
"Pectobacterium odoriferum",147
"Pectobacterium parmentieri",444
"Pectobacterium parvum",84
"Pectobacterium polaris",896
"Pectobacterium punjabense",290
"Pectobacterium sp. LJ1",286
"Pectobacterium sp. PL64",40
"Pectobacterium versatile",670
"Pectobacterium wasabiae",113
"Candidatus Fukatsuia symbiotica",198
"Chania multitudinisentens",343
"Ewingella americana",444
"Gibbsiella quercinecans",631
"Nissabacter sp. SGAir0207",771
"Rahnella aceris",75
"Rahnella aquatilis",1563
"Rahnella inusitata",549
"Rahnella sp. ERMR1:05",354
"Rahnella victoriana",670
"Rouxiella badensis",473
"Serratia entomophila",468
"Serratia ficaria",445
"Serratia fonticola",1355
"Serratia grimesii",393
"Serratia inhibens",166
"Serratia liquefaciens",545
"Serratia marcescens",8494
"Serratia odorifera",464
"Serratia plymuthica",1543
"Serratia proteamaculans",584
"Serratia quinivorans",275
"Serratia rhizosphaerae",105
"Serratia rubidaea",1052
"Serratia sp. 1D1416",99
"Serratia sp. 3ACOL1",63
"Serratia sp. ATCC 39006",450
"Serratia sp. FDAARGOS_506",261
"Serratia sp. FGI94",232
"Serratia sp. JSRIV004",67
"Serratia sp. JSRIV006",84
"Serratia sp. P2ACOL2",64
"Serratia sp. Tan611",207
"Serratia surfactantfaciens",259
"Serratia symbiotica",477
"Serratia ureilytica",316
"Yersinia aldovae",240
"Yersinia aleksiciae",251
"Yersinia canariae",192
"Yersinia enterocolitica",782
"Yersinia entomophaga",331
"Yersinia frederiksenii",1421
"Yersinia hibernica",19
"Yersinia intermedia",132
"Yersinia kristensenii",519
"Yersinia mollaretii",194
"Yersinia pestis",219
"Yersinia pseudotuberculosis",252
"Yersinia rohdei",338
"Yersinia ruckeri",526
"Yersinia similis",336
"Immundisolibacter cernigliae",678
"Immundisolibacter endosymbiont of unidentified scaly snail isolate Monju",568
"Kangiella endosymbiont of Euscepes postfasciatus",22
"Kangiella geojedonensis",124
"Kangiella koreensis",99
"Kangiella profundi",183
"Kangiella sediminilitoris",186
"Candidatus Pseudothioglobus singularis",59
"Candidatus Steffania adelgidicola",22
"Aquicella lusitana",160
"Aquicella siphonis",348
"Candidatus Nardonella dryophthoridicola",160
"Coxiella burnetii",192
"Coxiella Candidatus Coxiella mudrowiae",68
"Coxiella endosymbiont of Amblyomma nuttalli",46
"Coxiella endosymbiont of Amblyomma sculptum",74
"Gallaecimonas mangrovi",332
"Rickettsiella Candidatus Rickettsiella viridis",87
"Rickettsiella endosymbiont of Dermanyssus gallinae",113
"Fluoribacter dumoffii",317
"Legionella adelaidensis",66
"Legionella anisa",184
"Legionella antarctica",230
"Legionella cherrii",136
"Legionella clemsonensis",148
"Legionella endosymbiont of Polyplax serrata",10
"Legionella fallonii",142
"Legionella geestiana",310
"Legionella hackeliae",283
"Legionella israelensis",262
"Legionella jordanis",168
"Legionella lansingensis",92
"Legionella longbeachae",199
"Legionella oakridgensis",186
"Legionella pneumophila",1214
"Legionella sainthelensi",364
"Legionella sp. MW5194",270
"Legionella sp. PC1000",148
"Legionella sp. PC997",246
"Legionella spiritensis",312
"Legionella waltersii",142
"Tatlockia micdadei",114
"Candidatus Methylospira mobilis",550
"Candidatus Vesicomyosocius okutanii",63
"Methylocaldum marinum",762
"Methylococcus capsulatus",610
"Methylococcus geothermalis",466
"Methylococcus sp. EFPC2",682
"Methylococcus sp. Mc7",705
"Methylogaea oryzae",642
"Methylomagnum ishizawai",584
"Methylomicrobium album",606
"Methylomicrobium sp. wino1",509
"Methylomonas denitrificans",543
"Methylomonas koyamae",617
"Methylomonas methanica",392
"Methylomonas paludis",310
"Methylomonas rhizoryzae",360
"Methylomonas sp. DH-1",229
"Methylomonas sp. EFPC1",270
"Methylomonas sp. LL1",303
"Methylomonas sp. LW13",288
"Methylotuvimicrobium alcaliphilum",422
"Methylotuvimicrobium buryatense",367
"Methylovulum psychrotolerans",501
"Acinetobacter baumannii",18365
"Acinetobacter baylyi",634
"Acinetobacter bereziniae",10134
"Acinetobacter bouvetii",1136
"Acinetobacter calcoaceticus",2840
"Acinetobacter chinensis",969
"Acinetobacter cumulans",17853
"Acinetobacter defluvii",22042
"Acinetobacter dispersus",2080
"Acinetobacter equi",9344
"Acinetobacter guillouiae",1040
"Acinetobacter gyllenbergii",3820
"Acinetobacter haemolyticus",8163
"Acinetobacter indicus",9491
"Acinetobacter johnsonii",214914
"Acinetobacter junii",4731
"Acinetobacter lactucae",281
"Acinetobacter lanii",1549
"Acinetobacter larvae",774
"Acinetobacter lwoffii",26769
"Acinetobacter nosocomialis",1471
"Acinetobacter oleivorans",1754
"Acinetobacter piscicola",19149
"Acinetobacter pittii",7739
"Acinetobacter pseudolwoffii",482
"Acinetobacter radioresistens",1372
"Acinetobacter schindleri",3150
"Acinetobacter seifertii",2656
"Acinetobacter septicus",229
"Acinetobacter shaoyimingii",1581
"Acinetobacter soli",879
"Acinetobacter sp. 10FS3-1",1384
"Acinetobacter sp. Ac-14",201
"Acinetobacter sp. ACNIH1",389
"Acinetobacter sp. ACNIH2",5635
"Acinetobacter sp. BHS4",82
"Acinetobacter sp. C16S1",453
"Acinetobacter sp. Colony158",116
"Acinetobacter sp. CS-2",6633
"Acinetobacter sp. F9",426
"Acinetobacter sp. FDAARGOS_724",261
"Acinetobacter sp. LoGeW2-3",1683
"Acinetobacter sp. Marseille-Q1620",12217
"Acinetobacter sp. MYb10",332
"Acinetobacter sp. NCu2D-2",2511
"Acinetobacter sp. NEB 394",476
"Acinetobacter sp. NEB149",4633
"Acinetobacter sp. SCLZS86",1396
"Acinetobacter sp. SH20PTE14",118238
"Acinetobacter sp. SWBY1",683
"Acinetobacter sp. TGL-Y2",2071
"Acinetobacter sp. Tol 5",812
"Acinetobacter sp. TTH0-4",4455
"Acinetobacter sp. WCHA45",525
"Acinetobacter sp. WCHA55",8620
"Acinetobacter sp. WCHAc010034",7334
"Acinetobacter sp. WCHAc010052",982
"Acinetobacter sp. WY4",3156
"Acinetobacter sp. YH12138",115783
"Acinetobacter sp.",578
"Acinetobacter tandoii",4211
"Acinetobacter towneri",7440
"Acinetobacter ursingii",1168
"Acinetobacter variabilis",3840
"Acinetobacter venetianus",1337
"Acinetobacter wanghuae",991
"Acinetobacter wuhouensis",8175
"Aquirhabdus parva",222
"Moraxella bovis",336
"Moraxella bovoculi",288
"Moraxella catarrhalis",284
"Moraxella cuniculi",184
"Moraxella nonliquefaciens",273
"Moraxella osloensis",1690
"Moraxella ovis",68
"Psychrobacter arcticus",86
"Psychrobacter arenosus",305
"Psychrobacter cryohalolentis",97
"Psychrobacter sanguinis",190
"Psychrobacter sp. 28M-43",44
"Psychrobacter sp. DAB_AL43B",230
"Psychrobacter sp. G",208
"Psychrobacter sp. KCTC 72983",31
"Psychrobacter sp. P11F6",243
"Psychrobacter sp. P11G3",124
"Psychrobacter sp. P11G5",139
"Psychrobacter sp. PraFG1",232
"Psychrobacter sp. YP14",44
"Psychrobacter urativorans",164
"Flagellatimonas centrodinii",500
"Sinimarinibacterium sp. NLF-5-8",842
"Solimonas sp. K1W22B-7",994
"Sedimenticola thiotaurini",358
"Steroidobacter denitrificans",537
"Alcanivorax borkumensis",21
"Alcanivorax dieselolei",629
"Alcanivorax pacificus",883
"Alcanivorax sp. N3-2A",698
"Alcanivorax xenomutans",636
"Ketobacter alkanivorans",410
"Endozoicomonas montiporae",614
"Hahella chejuensis",907
"Hahella sp. KA22",677
"Candidatus Carsonella ruddii",228
"Candidatus Portiera aleyrodidarum",116
"Chromohalobacter salexigens",436
"Cobetia amphilecti",428
"Cobetia pacifica",21
"Cobetia sp. 4B",270
"Cobetia sp. AM6",29
"Cobetia sp. cqz5-12",683
"Cobetia sp. L2A1",468
"Halomonas aestuarii",376
"Halomonas alkaliphila",39
"Halomonas beimenensis",456
"Halomonas campaniensis",38
"Halomonas chromatireducens",494
"Halomonas elongata",430
"Halomonas huangheensis",559
"Halomonas hydrothermalis",309
"Halomonas meridiana",1561
"Halomonas piezotolerans",396
"Halomonas profundi",338
"Halomonas socia",600
"Halomonas sp. 1513",451
"Halomonas sp. 18071143",413
"Halomonas sp. A40-4",255
"Halomonas sp. FeN2",360
"Halomonas sp. GFAJ-1",358
"Halomonas sp. GT",98
"Halomonas sp. HG01",388
"Halomonas sp. hl-4",358
"Halomonas sp. HL-93",172
"Halomonas sp. JS92-SW72",536
"Halomonas sp. KO116",617
"Halomonas sp. MCCC 1A13316",348
"Halomonas sp. N3-2A",92
"Halomonas sp. NyZ770",64
"Halomonas sp. PGE1",726
"Halomonas sp. R57-5",350
"Halomonas sp. SF2003",62
"Halomonas sp. SH5A2",158
"Halomonas sp. SS10-MC5",317
"Halomonas sp. TD01",191
"Halomonas sp. THAF12",758
"Halomonas sp. THAF5a",502
"Halomonas sp. Y2R2",554
"Halomonas sp. YLGW01",488
"Halomonas subglaciescola",500
"Halomonas sulfidivorans",439
"Halomonas tianxiuensis",640
"Halomonas titanicae",1873
"Halomonas venusta",158
"Halotalea alkalilenta",661
"Kushneria konosiri",345
"Kushneria marisflavi",398
"Kushneria phosphatilytica",404
"Pistricoccus aurantiacus",366
"Salinicola tamaricis",596
"Zymobacter palmae",403
"Litoricola lipolytica",208
"Amphritea japonica",362
"Bacterioplanes sanyensis",258
"Bermanella marisrubri",516
"Marinobacterium aestuarii",780
"Marinobacterium georgiense",796
"Marinobacterium sediminicola",342
"Marinobacterium sp. LSUCC0821",240
"Marinomonas algicola",202
"Marinomonas arctica",206
"Marinomonas foliarum",161
"Marinomonas mediterranea",189
"Marinomonas posidonica",166
"Marinomonas primoryensis",219
"Marinomonas profundi",223
"Marinomonas sp. A3A",252
"Marinomonas sp. CT5",210
"Marinomonas sp. FW-1",180
"Neptunomonas concharum",200
"Neptunomonas japonica",386
"Neptunomonas phycophila",236
"Nitrincola iocasae",516
"Thalassolituus oleivorans",510
"Venatorbacter cucullus",462
"Oleiphilus messinensis",328
"Gynuella sunshinyii",502
"Reinekea forsetii",256
"Saccharospirillum mangrovi",510
"Spartinivicinus ruber",260
"Candidatus Nardonella endosymbiont of Pachyrhynchus infernalis",12
"Candidatus Thioglobus sp. NP1",706
"Candidatus Nardonella endosymbiont of Sipalinus gigas",22
"Candidatus Ruthia endofausta",20
"Candidatus Ruthia magnifica",14
"Candidatus Thioglobus autotrophicus",82
"Candidatus Vesicomyosocius sp. SY067_SCS001",56
"Frischella perrara",775
"Gilliamella apicola",1169
"Gilliamella sp. ESL0405",199
"Gilliamella sp. ESL0441",289
"Gilliamella sp. ESL0443",146
"Zophobihabitans entericus",232
"Actinobacillus delphinicola",204
"Actinobacillus equuli",146
"Actinobacillus indolicus",189
"Actinobacillus lignieresii",29
"Actinobacillus pleuropneumoniae",1024
"Actinobacillus porcitonsillarum",588
"Actinobacillus sp. GY-402",676
"Actinobacillus suis",233
"Aggregatibacter actinomycetemcomitans",569
"Aggregatibacter aphrophilus",365
"Aggregatibacter segnis",42
"Aggregatibacter sp. 2125159857",58
"Aggregatibacter sp. Marseille-P9115",42
"Avibacterium paragallinarum",695
"Avibacterium volantium",160
"Basfia [Mannheimia] succiniciproducens",154
"Bibersteinia trehalosi",4118
"Bisgaardia hudsonensis",194
"Frederiksenia canicola",199
"Gallibacterium anatis",1228
"Glaesserella parasuis",835
"Glaesserella sp. 15-184",198
"Haemophilus [Haemophilus] ducreyi",309
"Haemophilus haemolyticus",352
"Haemophilus influenzae",1095
"Haemophilus parahaemolyticus",243
"Haemophilus parainfluenzae",2140
"Haemophilus pittmaniae",118
"Haemophilus sp. oral taxon 036",21
"Histophilus somni",321
"Mannheimia bovis",111
"Mannheimia granulomatis",594
"Mannheimia haemolytica",887
"Mannheimia sp. USDA-ARS-USMARC-1261",142
"Mannheimia varigena",576
"Otariodibacter oris",122
"Pasteurella atlantica",188
"Pasteurella canis",215
"Pasteurella multocida",1826
"Pasteurella skyensis",128
"Rodentibacter haemolyticus",222
"Rodentibacter heylii",292
"Vespertiliibacter pulmonis",92
"Marinobacter adhaerens",657
"Marinobacter fonticola",412
"Marinobacter nauticus",872
"Marinobacter psychrophilus",116
"Marinobacter salarius",638
"Marinobacter salinus",375
"Marinobacter salsuginis",419
"Marinobacter similis",411
"Marinobacter sp. Arc7-DN-1",403
"Marinobacter sp. BSs20148",137
"Marinobacter sp. CA1",513
"Marinobacter sp. CP1",316
"Marinobacter sp. es.042",173
"Marinobacter sp. JH2",393
"Marinobacter sp. LPB0319",426
"Marinobacter sp. LQ44",1900
"Marinobacter sp. LV10R510-11A",334
"Marinobacter sp. NP-4(2019)",912
"Azotobacter chroococcum",975
"Azotobacter salinestris",667
"Entomomonas moraniae",282
"Entomomonas sp. F2A",232
"Halopseudomonas aestusnigri",875
"Halopseudomonas litoralis",598
"Halopseudomonas sabulinigri",406
"Halopseudomonas salegens",543
"Halopseudomonas sp. RR6",442
"Halopseudomonas xinjiangensis",340
"Permianibacter aggregans",420
"Pseudomonas aeruginosa",42596
"Pseudomonas agarici",340
"Pseudomonas alcaligenes",3188
"Pseudomonas alcaliphila",226
"Pseudomonas alkylphenolica",699
"Pseudomonas allokribbensis",271
"Pseudomonas alvandae",316
"Pseudomonas amygdali",688
"Pseudomonas antarctica",499
"Pseudomonas anuradhapurensis",123
"Pseudomonas argentinensis",470
"Pseudomonas arsenicoxydans",354
"Pseudomonas asgharzadehiana",196
"Pseudomonas asiatica",204
"Pseudomonas asplenii",118
"Pseudomonas asturiensis",471
"Pseudomonas atacamensis",166
"Pseudomonas azerbaijanoriens",130
"Pseudomonas azotoformans",859
"Pseudomonas balearica",1652
"Pseudomonas bijieensis",47
"Pseudomonas brassicacearum",3589
"Pseudomonas brenneri",191
"Pseudomonas campi",348
"Pseudomonas Candidatus Pseudomonas adelgestsugas",76
"Pseudomonas cavernae",594
"Pseudomonas cedrina",246
"Pseudomonas cerasi",24
"Pseudomonas chloritidismutans",62
"Pseudomonas chlororaphis",3292
"Pseudomonas cichorii",876
"Pseudomonas citronellolis",851
"Pseudomonas congelans",277
"Pseudomonas coronafaciens",423
"Pseudomonas corrugata",520
"Pseudomonas cremoricolorata",520
"Pseudomonas donghuensis",72
"Pseudomonas entomophila",938
"Pseudomonas eucalypticola",522
"Pseudomonas extremaustralis",376
"Pseudomonas fakonensis",210
"Pseudomonas fluorescens",13812
"Pseudomonas fragi",456
"Pseudomonas frederiksbergensis",574
"Pseudomonas fulva",1499
"Pseudomonas furukawaii",842
"Pseudomonas fuscovaginae",125
"Pseudomonas glycinae",62
"Pseudomonas gozinkensis",158
"Pseudomonas graminis",258
"Pseudomonas granadensis",223
"Pseudomonas guangdongensis",479
"Pseudomonas hamedanensis",262
"Pseudomonas iranensis",197
"Pseudomonas juntendi",26
"Pseudomonas khazarica",136
"Pseudomonas knackmussii",2016
"Pseudomonas koreensis",616
"Pseudomonas kribbensis",456
"Pseudomonas kunmingensis",85
"Pseudomonas lactis",67
"Pseudomonas lalkuanensis",970
"Pseudomonas libanensis",891
"Pseudomonas lini",254
"Pseudomonas lundensis",373
"Pseudomonas lurida",183
"Pseudomonas luteola",300
"Pseudomonas mandelii",264
"Pseudomonas marincola",541
"Pseudomonas maumuensis",141
"Pseudomonas mediterranea",343
"Pseudomonas mendocina",2963
"Pseudomonas migulae",646
"Pseudomonas monsensis",39
"Pseudomonas monteilii",4621
"Pseudomonas moraviensis",855
"Pseudomonas mosselii",355
"Pseudomonas mucidolens",311
"Pseudomonas multiresinivorans",426
"Pseudomonas muyukensis",251
"Pseudomonas nanhaiensis",384
"Pseudomonas nitroreducens",131
"Pseudomonas ogarae",56
"Pseudomonas oleovorans",700
"Pseudomonas orientalis",728
"Pseudomonas oryzae",821
"Pseudomonas oryzihabitans",1134
"Pseudomonas oryziphila",85
"Pseudomonas otitidis",1185
"Pseudomonas palleroniana",188
